WM	Current_Price	Store	Prod_Name	Prod_Alias	RegPrice	OnSalePrice
30099189  	5.45	OFC	Bosc  Pear	灰啤梨	1.79	0.00
30043641  	6.55	OFC	Manzano Banana(Bag)	牛奶蕉(包裝)	1.59	0.00
31235995  	6.55	OFC	Spinach	菠菜(扎)	1.79	0.00
30761710  	2.27	OFC	Fresh Peeled Mini Carrots	紅蘿蔔仔(1LB )	1.29	1.29
31235993  	6.55	OFC	Sweet Yam (L)	甜番薯(大)	1.59	0.00
30519614  	2.98	OFC	Snow Pear                     	雪豆                          	0.99	0.99
31231506  	1.97	OFC	Garlic Meat	蒜肉	5.99	2.99
30095746  	12.97	OFC	Caliman Papaya (Brazil)	巴西木瓜(箱)	10.99	8.99
31231480  	8.75	OFC	Winter Bamboo Shoot	冬  筍	4.99	0.00
30099995  	1.97	OFMM	Varity Triumph Persimmons	盒?柿子	0.79	0.00
31231498  	3.97	OFC	Coconut	老椰子	1.59	1.29
31231518  	4.34	OFC	Fuzzy Squash	毛瓜	1.39	0.00
31231439  	15.37	OFC	Vietnam Date	越南蜜棗	5.99	0.00
31231425  	5.67	OFC	Apple Pear	蘋果梨	5.00	0.00
30746755  	1.97	OFC	Essex Kent Sliced Mushrooms   	切片蘑菇                      	1.29	1.29
31231499  	6.55	OFC	Cucumber	大黃瓜	0.99	0.00
30096540  	4.34	OFC	Yellow Peaches	黃毛桃	4.29	0.00
30099262  	4.97	OFC	Sweet Golden Honeydew         	金黃蜜瓜                      	1.99	1.99
30762861  	6.55	OFC	Banana Flower	香蕉花	1.99	0.00
31231501  	6.55	OFC	Banana Flower	香蕉花	1.99	0.00
30506747  	15.37	OFC	Snow Pea	雪  豆	1.28	0.00
31236014  	4.34	OFC	Chinese Okra	勝瓜	0.99	0.99
31231431  	4.34	OFC	Sugar Cane	甘蔗	1.99	0.00
30751923  	5.97	OFMM	Baby Artichokes	百合花	1.99	0.00
30769928  	0.97	OFMM	BEAN SPROUT (bag)	包裝芽菜	0.79	0.00
30754581  	2.97	OFMM	Shiitake Mushroom	本地松茸菇	1.99	1.99
30083722  	1.97	OFMM	Dried Fig Figues	幹無花果	0.99	0.00
30746752  	2.97	OFMM	Ravine Crimini Mushrooms	咖啡菇	2.99	0.00
30099994  	6.97	OFMM	Persimmon (Box) (8 Pcs)	原箱富貴柿 (8粒)	4.99	9.99
30757594  	2.97	OFMM	Chestnut	栗 子	0.99	0.00
30032197  	4.97	OFMM	Sweet Apricot	甜杏	2.99	1.59
30762874  	1.57	OFMM	Fresh Ginkgo	銀杏仁	0.79	0.00
30092759  	5.97	OFMM	Jersey Mac Apple  	袋裝蘋果   	2.99	0.00
30100028  	4.97	OFMM	Persimmon#4428	袋裝富貴柿(5個裝)	1.99	1.99
30507785  	7.87	OFMM	Bone In Beef	有骨牛肉	2.29	0.00
30504957  	2.97	OFMM	Suntastic Tomatoes	盒裝溫室番茄	0.79	0.00
30510513  	2.97	OFMM	Grape Roma Tomato	羅馬小番茄	1.99	0.00
30079247  	15.97	OFMM	Cactus Pears(Pack)	盒裝仙人果	9.99	9.99
30757583  	2.57	OFMM	Alfalfa Sprout	芽  菜	1.49	0.39
30761675  	1.97	OFMM	Laisla Tree Cucumber	青瓜仔	0.99	0.00
30092407  	4.97	OFMM	STEMITT GALA APPLES 	袋裝皇室蘋果	3.99	0.00
30098060  	3.97	OFMM	Hyden Mango	小箱蘋果芒	2.99	3.88
30083490  	2.97	OFMM	Sweet &sour Tamarind 	甜酸子	0.99	0.00
30065181  	2.97	OFMM	Seedless Watermelon(Red)	迷你小西瓜	1.99	1.99
30746771  	1.97	OFMM	SUNQIAO Golden Mushroom	純白金針菇	0.88	0.88
30510038  	2.97	OHS	Roma Plum	有枝番茄	2.59	0.00
30760487  	4.57	OHS	Mini Oyster Mushroom	袖珍蠔菇	1.00	0.00
30762521  	2.97	OHS	Peeled Garlic  250g	蒜肉 250g	1.00	4.99
30099233  	4.34	OHS	A	新疆哈密瓜（小）	0.99	0.00
31231409  	35.21	OHS	Pears	鴨嘴梨	1.29	0.00
30084050  	3.97	ALP	Sunview Black Seedless Table Grapes	Organic	2.29	2.29
30084113  	6.97	ALP	Black Seedless Table Grapes		4.99	4.99
30100020  	2.97	ALP	Persimmon (Box)	盒裝富貴柿	2.99	2.99
30079348  	30.97	ALP	Sweet Cherries(In Pack)	盒裝車喱子	2.97	2.97
30057272  	6.97	ALP	Plum(In Box)	盒裝甜布霖	5.99	5.99
30038827  	3.97	ALP	Luky 7's Avocado		2.99	2.99
30083687  	20.97	ALP	Fresh Figs(In Box)	盒裝無花果	5.99	5.99
30083688  	5.97	ALP	Figs	盒裝無花果	1.99	1.99
30083695  	8.97	ALP	Kadota Fresh Figs		4.99	4.99
30092751  	7.97	ALP	Golden apple(8LB In Bag)	袋裝黃蘋果	4.59	3.99
30092755  	4.97	ALP	Nickels Orchards Empire Apple		2.99	2.99
30092756  	5.97	ALP	Ontario Empire Apple	袋裝蘋果	1.99	0.00
30092758  	5.97	ALP	Orchard Crisp Idared Apple	富士蘋果	1.99	0.00
30084116  	5.97	ALP	Ontario Blue Grapes	黑葡萄	3.59	3.59
30504770  	3.97	ALP	Organics Yellow Tomatoes		2.99	0.00
30096946  	7.97	ALP	Big Yellow Peach (BOX)		7.99	7.99
30084136  	4.97	ALP	Ontario Blue Grapes		3.59	3.59
30757612  	5.97	ALP	Biologique Organic Beets		4.99	4.99
30092980  	5.97	ALP	Ontario Fuji Apples(Bag)	袋裝本地富士蘋果	3.59	3.59
30097117  	2.97	ALP	Ontario Yellow Peach		4.99	3.99
30092982  	6.97	ALP	Algoma Orchard Cripps Pink		2.99	2.99
30084141  	3.97	ALP	Ontario Blue Grapes	黑葡萄	3.59	3.59
30757618  	2.97	ALP	Organic Collaed Greens		1.99	1.99
30505169  	2.97	ALP	Roma Tomato(In Box)	盒裝有枝羅馬番茄	1.59	1.99
30504643  	4.97	ALP	C.O.P Organic Sweet Onion	Product Of U.S.A	3.99	3.99
30761669  	2.97	ALP	Tanimura & Antle Romaine Hearts	包裝牛利生菜(2顆)	0.69	0.69
30768722  	1.97	ALP	Italy Gai Lan	意大利芥蘭	1.99	1.99
30748096  	2.67	ALP	Organic Black KaLe Lacintao		2.69	2.69
30504774  	2.57	ALP	Red Zoo Cherry Tomatoes	小番茄	2.59	2.59
30505119  	2.97	ALP	Organic Grape Tomatoes	車里子番茄	2.99	2.99
30080937  	5.97	ALP	Honey Murcotts		4.99	4.99
30081273  	5.97	ALP	Clementines 	甜柑仔	4.99	0.00
30762260  	3.97	ALP	Parsley Roots		3.99	3.99
30519611  	2.98	ALP	Sugar Snap Peas	小包裝蜜豆	0.39	0.98
30510512  	4.97	ALP	Orangic  Red Potatoes		3.99	3.99
30748098  	2.67	ALP	Organic  Kale		2.99	2.99
30505118  	2.97	ALP	COOKING ONION 2LBS	2磅裝洋蔥	0.99	0.99
30508381  	2.97	ALP	Select 1 Rainbow Pepper		1.79	1.79
30084375  	4.57	ALP	Red Seedless Grapes	盒裝無核紅提	0.99	0.99
30087861  	2.97	ALP	Kalamata Natural Dried Figs	包裝干無花果	2.49	2.49
30083675  	1.97	ALP	Jenny`s Dried  Figs	無花果干	0.99	0.99
30762879  	7.97	ALP	Earthbound Farm Organic Jewel Yams		6.59	6.59
30504724  	1.97	ALP	Earthbound Red Cherry Tomatoes		0.79	0.79
30504728  	1.97	ALP	Organic Grape Tomatoes	車里子番茄	2.99	2.99
30505675  	1.97	ALP	Grape Tomatoes	番茄	1.59	1.59
30506023  	2.97	ALP	Baby Roma Tomatoes	小羅馬番茄	0.79	0.00
30506054  	3.97	ALP	Grape Tomatoes	車里子番茄	2.59	2.59
30506090  	3.97	ALP	Sweet Grape Tomatoes		2.59	2.59
30506142  	3.97	ALP	Romana TOMATO	有枝盒裝番茄	0.99	1.59
31227541  	1.97	ALP	Japan  Pickle Cucumber	包裝日本青瓜仔	1.59	1.59
30506672  	1.57	ALP	Ole Cocktail Tomatoes		0.79	0.79
30504776  	3.97	ALP	Harvest Fresh Cipolline Onion		2.99	2.99
30748101  	2.47	ALP	Popi Chopped Kale		2.49	2.49
30757593  	1.97	ALP	PH Food Organic Soybean Sprouts		1.99	1.99
30083403  	3.97	ALP	Pearl Sweet & Sour Tamarind	珍珠牌特級甜酸子	3.48	3.48
30506710  	4.97	ALP	Mucci Tomatoes on the Vine		4.99	4.99
30506760  	2.97	ALP	Mucci Sweet Grape Tomatoes		2.59	2.59
30507403  	2.97	ALP	Mucci Tomatoes	Blended Flav,	1.99	1.99
30757578  	3.57	ALP	Dandy Meyer Sweet Lemons		3.59	3.59
30762856  	3.97	ALP	Organic Ginger		2.99	2.99
30505172  	3.97	ALP	Christopher Ranch Gold Pear Onions		2.99	2.99
30505590  	3.97	ALP	Christopher Ranch White Pearl Onions		2.99	2.99
30757616  	4.97	ALP	Organic Biologique Bunch Gold Beets		2.99	2.99
30761688  	4.97	ALP	Cal-Organic Iceberg Lettuce		3.99	3.99
30761692  	5.97	ALP	Cal-Organic Romaine Heart	包裝有機牛利生菜(3棵)	4.99	4.99
30084476  	3.97	ALP	Empire Thomcord Table Grapes		3.99	3.99
30084507  	3.97	ALP	Sun  Bellevable  Black Corinth Grapes		3.99	3.99
30087779  	3.97	ALP	Natural Delights Med Jool Dates		3.99	3.99
30082411  	6.97	ALP	Natural Delights Coconut		6.99	6.99
30746749  	7.97	ALP	Almond	杏仁	7.99	6.99
30064883  	6.97	ALP	Mini Yellow Watermelon	黃肉小西瓜	2.99	2.99
30761698  	6.55	ALP	Mustard	細大芥菜                      	0.99	0.99
30521737  	2.14	ALP	Taro in pack	真空大芋頭	1.99	1.99
30521738  	2.14	ALP	Indian Small Eddoes 		2.99	2.99
30768721  	1.97	ALP	Chen Tai Gai Lan Tips	陳太芥蘭苗	1.99	1.99
30746743  	0.97	ALP	Enoki Mushroom	黃針菇	1.00	1.00
30748106  	8.75	ALP	Jerusalem Artichoke		1.99	1.99
31227506  	6.55	ALP	Indian Bitter Melon	印度苦瓜	2.99	2.99
30507783  	6.55	ALP	Long Red Pepper	粗長紅椒	1.29	1.29
31227504  	7.87	ALP	Jamican Sweet Potato	牙買加甜薯	3.59	0.00
30757558  	6.55	ALP	Indian  Flat  Bean	印度夾豆	1.59	1.59
30513189  	4.34	ALP	Golden Nugget #4767	紅色南瓜	0.99	0.99
31227514  	6.55	ALP	Parsley Roots		1.99	1.99
30510035  	1.48	ALP	Jamaican Cooking Banana	青蕉	1.99	1.99
31227502  	6.55	ALP	Jamaica Sweet Yam		2.99	2.99
30515111  	4.34	ALP	Young Turnip	小蘿蔔苗	0.99	0.99
30082799  	8.75	ALP	Breadnut	麵包果	1.99	1.99
30762875  	6.55	ALP	Fresh Yam	新鮮真空包裝淮山	2.99	2.99
30504624  	3.90	ALP	Tomato Medley(Huy Farms)	Small	1.79	1.79
30757600  	2.97	ALP	Golden Beets		1.79	1.79
30064873  	8.75	ALP	In Shell Walnuts(Jumbo)		3.49	0.00
30097456  	4.34	ALP	Rocha Pear #3024		1.59	1.59
