WM	Current_Price	Store	Prod_Name	Prod_Alias	RegPrice	OnSalePrice
30508377  	6.55	ALP	Pimento		0.00	0.00
30513273  	1.97	ALP	Indian Pumpkin		0.00	0.00
30099229  	5.00	ALP	Abate Petel Pear (Loose)#3012		2.59	2.59
30507743  	6.55	ALP	Pepper	青指天椒	1.00	0.00
30757572  	8.75	ALP	Purple Beans	紫色豆仔	1.29	0.00
30761668  	4.34	ALP	Pork Butt  Shoulder Boneless		0.00	0.00
31227503  	4.34	ALP	White Yam	南美小白薯	1.29	1.29
30092993  	5.97	ALP	Stenilt Organic Green Apple	袋裝青蘋果	0.99	1.59
30093310  	5.97	ALP	Local Golden Apple(Bag)	袋裝本地金黃蘋果	4.59	4.59
30511612  	6.97	ALP	Baking Potatoes	黃薯仔(一袋)                  	3.99	3.99
30512065  	6.97	ALP	Potato in Bag	袋裝薯仔                      	3.99	3.99
30761679  	1.27	ALP	Carrots (1 pack)	袋裝紅蘿蔔(2lb)	0.99	0.99
30778834  	1.97	ALP	Bolthouse Mini Carrots	迷 你 紅 蘿 蔔	0.99	0.99
30079600  	3.97	ALP	Peeled Chestnut	栗子肉	2.99	2.99
31231437  	13.16	ALP	Goose Berry		3.59	3.59
30504621  	4.34	ALP	Sweet  Onion	甜洋蔥	1.59	1.59
30517281  	4.34	ALP	Shallot Small	小洋蔥仔	1.99	1.99
31231432  	4.97	ALP	Seedless Watermelon  (Double T)	無核西瓜	1.58	1.58
30080328  	6.55	ALP	Sugar Tangerine (Loose)	散裝砂糖橘	1.68	1.68
30083723  	3.97	ALP	Star South Figs		3.99	3.99
30095525  	1.97	ALP	sunkist  Lemon		3.99	3.99
30095527  	5.97	ALP	Organic Orange		4.99	4.99
30757589  	4.97	ALP	Organic Limes	袋裝青檸檬	2.99	2.99
30058081  	2.97	ALP	Small  Pomelo	小琯溪蜜柚	2.59	2.59
30082785  	3.97	ALP	Parnoosh Delicious Pitted Dates		1.99	1.99
30095528  	5.97	ALP	Arc-En-Ciel Produce Oranges	Product Of South Africa	2.99	2.99
30751918  	3.97	ALP	Organic Jerusalem Artichokes		2.99	2.99
